date,Flat (No MG)_pnl,Flat + Skip 2L_pnl,MG Next Signal (x1.5)_pnl,MG Next Signal (x2)_pnl,MG Next Signal (x3.0)_pnl,MG1 (x1.5)_pnl,MG1 (x2)_pnl,MG1 (x2.5)_pnl,MG1 (x3.0)_pnl,MG2 (x1.5)_pnl,MG2 (x2)_pnl,MG2 (x2.5)_pnl,MG2 (x3.0)_pnl,MG2 + Stop 1L_pnl,Masaniello_pnl,Masaniello (cap $1000)_pnl,Masaniello (cap $2000)_pnl,Masaniello (cap $500)_pnl,Soros (3-level cap)_pnl,Soros (Anti-MG)_pnl
2025-10-28,-55.6,-20.0,-68.0,-80.4,-105.2,-56.8,-57.2,-57.6,-58.0,-152.2,-226.8,-322.6,-439.6,-70.0,554.4,1086.34,1086.34,1086.34,326.33,326.33
2025-10-29,-36.8,-22.4,-44.8,-52.8,-68.8,5.2,19.2,33.2,47.2,81.7,155.2,245.7,353.2,97.2,772.59,1098.64,1098.64,1098.64,506.82,506.82
2025-10-30,-52.0,-12.4,-50.0,-48.0,-44.0,-36.4,-31.2,-26.0,-20.8,-44.5,-45.6,-48.5,-53.2,-20.4,627.33,980.25,980.25,980.25,252.23,252.23
2025-10-31,-7.2,-20.0,-8.4,-9.6,-12.0,-69.0,-89.6,-110.2,-130.8,-12.3,11.2,47.3,96.0,-20.4,434.0,738.68,738.68,738.68,159.34,159.34
2025-11-01,0.8,14.0,-2.2,-5.2,-11.2,-40.0,-53.6,-67.2,-80.8,33.8,77.6,137.8,214.4,-10.8,726.6,1068.92,1068.92,1068.92,448.12,448.12
2025-11-02,38.4,-21.2,45.4,52.4,66.4,27.6,24.0,20.4,16.8,61.8,84.8,115.4,153.6,-70.0,698.93,1116.29,1116.29,1116.29,462.68,462.68
2025-11-03,0.8,-2.4,-2.2,-5.2,-11.2,44.6,59.2,73.8,88.4,16.7,9.6,-3.7,-23.2,61.2,734.99,1061.04,1061.04,1061.04,390.47,390.47
2025-11-04,19.6,12.8,58.6,97.6,175.6,-90.8,-127.6,-164.4,-201.2,-19.7,-1.2,33.1,83.2,-20.8,680.13,1046.47,1046.47,1046.47,421.57,421.57
2025-11-05,-36.8,-11.2,-31.0,-25.2,-13.6,-23.0,-18.4,-13.8,-9.2,-11.3,2.4,18.7,37.6,-23.2,707.8,1053.12,1053.12,1053.12,405.03,405.03
2025-11-06,-8.0,-20.0,-6.0,-4.0,0.0,7.6,12.8,18.0,23.2,-42.8,-76.8,-122.0,-178.4,-32.0,652.53,1011.52,1011.52,1011.52,402.77,402.77
2025-11-07,-112.0,-12.4,-130.0,-148.0,-184.0,-186.4,-211.2,-236.0,-260.8,-202.6,-240.0,-281.0,-325.6,-61.2,554.4,1121.27,1121.27,1121.27,287.48,287.48
2025-11-08,-112.0,-11.2,-120.6,-129.2,-146.4,-101.8,-98.4,-95.0,-91.6,-50.5,-7.2,47.5,113.6,30.4,718.78,1044.83,1044.83,1044.83,438.12,438.12
2025-11-09,-18.0,-11.2,-25.4,-32.8,-47.6,-45.6,-54.8,-64.0,-73.2,-14.1,1.2,23.5,52.8,-22.0,650.8,1048.87,1048.87,1048.87,405.03,405.03
2025-11-10,-36.8,-21.2,-31.0,-25.2,-13.6,-107.6,-131.2,-154.8,-178.4,-78.8,-80.0,-74.8,-63.2,-70.0,592.0,1091.94,1091.94,1091.94,355.13,355.13
2025-11-11,19.6,-3.6,7.8,-4.0,-27.6,-34.4,-52.4,-70.4,-88.4,-87.5,-146.8,-217.9,-300.8,7.2,613.2,990.09,990.09,990.09,336.33,336.33
2025-11-12,19.6,-6.0,21.6,23.6,27.6,-90.8,-127.6,-164.4,-201.2,-146.6,-226.8,-319.4,-424.4,-22.0,452.8,783.95,783.95,783.95,335.13,335.13
2025-11-13,-18.0,6.4,-39.2,-60.4,-102.8,39.0,58.0,77.0,96.0,11.1,8.4,-0.5,-15.6,96.4,734.99,1061.04,1061.04,1061.04,390.47,390.47
2025-11-14,-93.2,-11.2,-101.8,-110.4,-127.6,-68.0,-59.6,-51.2,-42.8,-121.1,-154.0,-198.7,-255.2,-61.2,670.2,1030.95,1030.95,1030.95,345.13,345.13
2025-11-15,-36.8,-6.0,-35.4,-34.0,-31.2,5.2,19.2,33.2,47.2,-2.9,4.8,10.7,14.8,100.4,734.99,1061.04,1061.04,1061.04,396.23,396.23
2025-11-16,0.8,-20.0,2.8,4.8,8.8,16.4,21.6,26.8,32.0,-34.0,-68.0,-113.2,-169.6,-57.2,678.92,1036.62,1036.62,1036.62,324.02,324.02
2025-11-17,-18.0,10.4,-7.2,3.6,25.2,10.8,20.4,30.0,39.6,2.7,6.0,7.5,7.2,88.0,734.99,1061.04,1061.04,1061.04,396.23,396.23
2025-11-18,-130.8,-20.0,-158.2,-185.6,-240.4,-79.2,-62.0,-44.8,-27.6,-132.3,-156.4,-192.3,-240.0,55.6,697.39,1023.44,1023.44,1023.44,345.13,345.13
2025-11-19,-18.0,-3.6,-21.0,-24.0,-30.0,-17.4,-17.2,-17.0,-16.8,-5.7,3.6,15.5,30.0,12.4,707.8,1040.8,1040.8,1040.8,430.37,430.37
2025-11-20,0.8,-21.2,-6.6,-14.0,-28.8,-40.0,-53.6,-67.2,-80.8,-50.8,-72.8,-97.2,-124.0,-70.0,661.33,1067.02,1067.02,1067.02,355.13,355.13
2025-11-21,0.8,-11.2,-6.6,-14.0,-28.8,-96.4,-128.8,-161.2,-193.6,-67.6,-77.6,-81.2,-78.4,33.6,662.63,1003.86,1003.86,1003.86,402.77,402.77
2025-11-22,-36.8,-11.2,-49.2,-61.6,-86.4,-79.4,-93.6,-107.8,-122.0,-70.4,-77.6,-82.8,-86.0,-39.6,592.0,1073.12,1073.12,1073.12,355.13,355.13
2025-11-23,0.8,-20.0,7.2,13.6,26.4,-40.0,-53.6,-67.2,-80.8,-177.7,-298.4,-449.7,-631.6,-70.0,290.8,476.64,476.64,476.64,277.48,277.48
2025-11-24,57.2,-3.6,64.2,71.2,85.2,-23.2,-50.0,-76.8,-103.6,92.9,156.4,245.7,360.8,57.6,772.59,1098.64,1098.64,1098.64,498.02,498.02
2025-11-25,-55.6,5.2,-54.2,-52.8,-50.0,-0.4,18.0,36.4,54.8,-8.5,3.6,13.9,22.4,-70.0,650.8,1119.77,1119.77,1119.77,412.77,412.77
2025-11-26,-14.4,-21.2,-12.4,-10.4,-6.4,-81.6,-104.0,-126.4,-148.8,-134.7,-198.4,-273.9,-361.2,-40.8,260.4,337.35,337.35,337.35,201.13,201.13
2025-11-27,-93.2,-13.6,-110.6,-128.0,-162.8,-124.4,-134.8,-145.2,-155.6,-95.6,-83.6,-65.2,-40.4,-6.8,632.0,1007.3,1007.3,1007.3,386.23,386.23
2025-11-28,-140.8,-20.0,-177.6,-214.4,-288.0,-217.0,-242.4,-267.8,-293.2,-213.4,-236.0,-257.8,-278.8,-34.4,632.53,997.96,997.96,997.96,278.68,278.68
2025-11-29,-18.0,-11.2,-34.8,-51.6,-85.2,10.8,20.4,30.0,39.6,-39.6,-69.2,-110.0,-162.0,-37.2,592.0,1047.34,1047.34,1047.34,355.13,355.13
2025-11-30,-36.8,14.0,-49.2,-61.6,-86.4,-79.4,-93.6,-107.8,-122.0,-70.4,-77.6,-82.8,-86.0,12.0,661.33,1005.13,1005.13,1005.13,380.47,380.47
2025-12-01,-112.0,-20.0,-111.2,-110.4,-108.8,-101.8,-98.4,-95.0,-91.6,-177.4,-232.8,-305.0,-394.0,-70.0,594.4,1053.43,1053.43,1053.43,196.89,196.89
2025-12-02,-55.6,-20.0,-59.2,-62.8,-70.0,-56.8,-57.2,-57.6,-58.0,-109.9,-151.6,-205.1,-270.4,-24.4,613.2,1017.93,1017.93,1017.93,353.93,353.93
2025-12-03,-18.0,-11.2,-21.0,-24.0,-30.0,39.0,58.0,77.0,96.0,53.4,83.6,117.0,153.6,43.6,737.58,1063.63,1063.63,1063.63,488.02,488.02
2025-12-04,-18.0,-20.0,-11.6,-5.2,7.6,-102.0,-130.0,-158.0,-186.0,-157.8,-229.2,-313.0,-409.2,-62.4,554.4,1001.4,1001.4,1001.4,326.33,326.33
2025-12-05,76.0,70.8,96.8,117.6,159.2,67.0,64.0,61.0,58.0,39.1,14.4,-16.5,-53.6,-34.8,680.13,1069.46,1069.46,1069.46,421.57,421.57
2025-12-06,4.4,-11.2,11.4,18.4,32.4,8.6,10.0,11.4,12.8,-19.3,-39.6,-66.1,-98.8,-61.2,598.0,1004.03,1004.03,1004.03,317.48,317.48
2025-12-07,-14.4,-4.8,-21.2,-28.0,-41.6,-25.2,-28.8,-32.4,-36.0,-117.9,-193.6,-289.9,-406.8,-52.4,560.4,1015.33,1015.33,1015.33,223.43,223.43
2025-12-08,4.4,-4.8,15.8,27.2,50.0,-47.8,-65.2,-82.6,-100.0,-78.4,-119.6,-167.6,-222.4,-61.2,539.2,988.3,988.3,988.3,267.58,267.58
2025-12-09,-40.4,12.8,-39.6,-38.8,-37.2,97.6,143.6,189.6,235.6,7.6,-16.4,-60.4,-124.4,-44.8,696.92,1082.72,1082.72,1082.72,451.48,451.48
2025-12-10,-26.8,-2.4,-34.2,-41.6,-56.4,-167.2,-214.0,-260.8,-307.6,-310.3,-468.4,-658.3,-880.0,-52.4,154.0,227.55,227.55,227.55,183.43,183.43
2025-12-11,-46.0,-20.0,-43.4,-40.8,-35.6,-11.8,-0.4,11.0,22.4,5.3,30.0,58.5,90.8,-70.0,522.0,879.77,879.77,879.77,224.59,224.59
2025-12-12,12.0,-6.0,32.8,53.6,95.2,1.2,-2.4,-6.0,-9.6,-49.2,-92.0,-146.0,-211.2,-3.2,634.93,987.83,987.83,987.83,346.33,346.33
2025-12-13,0.8,-11.2,-20.4,-41.6,-84.0,72.8,96.8,120.8,144.8,67.4,87.2,105.8,123.2,88.8,753.79,1079.84,1079.84,1079.84,488.02,488.02
2025-12-14,19.6,-11.2,35.4,51.2,82.8,-62.6,-90.0,-117.4,-144.8,-95.9,-149.2,-209.9,-278.0,-39.6,573.2,1069.05,1069.05,1069.05,314.02,314.02
2025-12-15,-20.8,-20.0,-27.6,-34.4,-48.0,-58.0,-70.4,-82.8,-95.2,-150.7,-235.2,-340.3,-466.0,-46.0,286.8,540.27,540.27,540.27,94.0,94.0
2025-12-16,-22.0,-2.4,-33.2,-44.4,-66.8,-74.2,-91.6,-109.0,-126.4,-20.2,4.4,41.0,89.6,-52.4,619.73,1015.25,1015.25,1015.25,287.58,287.58
2025-12-17,-74.4,-21.2,-101.2,-128.0,-181.6,-203.4,-246.4,-289.4,-332.4,-199.8,-240.0,-279.4,-318.0,-18.0,594.4,1004.54,1004.54,1004.54,366.23,366.23
2025-12-18,57.2,21.6,78.0,98.8,140.4,61.4,62.8,64.2,65.6,75.8,88.4,104.2,123.2,-44.8,703.48,1064.09,1064.09,1064.09,456.92,456.92
2025-12-19,-18.0,-20.0,-34.8,-51.6,-85.2,-45.6,-54.8,-64.0,-73.2,-98.7,-149.2,-211.5,-285.6,-70.0,625.32,1044.89,1044.89,1044.89,272.14,272.14
2025-12-20,-74.4,-21.2,-82.4,-90.4,-106.4,-6.0,16.8,39.6,62.4,28.2,77.6,134.6,199.2,-30.8,726.6,1074.99,1074.99,1074.99,479.22,479.22
2025-12-21,-55.6,-21.2,-59.2,-62.8,-70.0,-56.8,-57.2,-57.6,-58.0,-109.9,-151.6,-205.1,-270.4,-70.0,642.53,1019.73,1019.73,1019.73,345.13,345.13
2025-12-22,-93.2,-21.2,-120.0,-146.8,-200.4,-11.6,15.6,42.8,70.0,22.6,76.4,137.8,206.8,-25.6,726.6,1071.92,1071.92,1071.92,488.02,488.02
2025-12-23,0.8,-11.2,7.2,13.6,26.4,-68.2,-91.2,-114.2,-137.2,-143.8,-225.6,-324.2,-439.6,-61.2,268.0,337.41,337.41,337.41,231.03,231.03
2025-12-24,-55.6,-2.4,-68.0,-80.4,-105.2,27.8,55.6,83.4,111.2,-42.4,-69.2,-111.6,-169.6,29.6,678.92,1011.3,1011.3,1011.3,411.57,411.57
2025-12-25,0.8,5.2,7.2,13.6,26.4,-68.2,-91.2,-114.2,-137.2,-101.5,-150.4,-206.7,-270.4,-61.2,613.2,1014.46,1014.46,1014.46,279.88,279.88
2025-12-26,-74.4,-20.0,-91.8,-109.2,-144.0,-118.8,-133.6,-148.4,-163.2,-132.3,-157.6,-185.9,-217.2,-39.6,613.2,1005.74,1005.74,1005.74,345.13,345.13
2025-12-27,-64.4,-20.0,-86.2,-108.0,-151.6,-122.0,-141.2,-160.4,-179.6,-135.5,-165.2,-197.9,-233.6,-47.2,564.4,1007.36,1007.36,1007.36,345.13,345.13
2025-12-28,-18.0,-20.0,-34.8,-51.6,-85.2,-102.0,-130.0,-158.0,-186.0,-200.1,-304.4,-430.5,-578.4,-39.6,381.2,630.34,630.34,630.34,212.23,212.23
2025-12-29,-112.0,-20.0,-130.0,-148.0,-184.0,-130.0,-136.0,-142.0,-148.0,-185.8,-235.2,-297.0,-371.2,-70.0,554.4,1056.49,1056.49,1056.49,335.13,335.13
2025-12-30,94.8,48.0,120.6,146.4,198.0,72.6,65.2,57.8,50.4,129.3,166.0,215.3,277.2,46.0,756.38,1082.43,1082.43,1082.43,498.02,498.02
2025-12-31,57.2,-11.2,50.4,43.6,30.0,89.6,100.4,111.2,122.0,84.2,90.8,96.2,100.4,32.4,717.82,1049.87,1049.87,1049.87,440.37,440.37
2026-01-01,-36.8,32.8,-67.4,-98.0,-159.2,5.2,19.2,33.2,47.2,-2.9,4.8,10.7,14.8,54.8,727.26,1053.31,1053.31,1053.31,421.57,421.57
2026-01-02,-74.4,-20.0,-101.2,-128.0,-181.6,-147.0,-171.2,-195.4,-219.6,-225.3,-310.4,-412.9,-532.8,-70.0,117.2,-40.24,-40.24,-40.24,268.68,268.68
2026-01-03,-18.0,2.8,-7.2,3.6,25.2,-102.0,-130.0,-158.0,-186.0,-157.8,-229.2,-313.0,-409.2,-36.0,452.8,773.02,773.02,773.02,269.88,269.88
2026-01-04,38.4,14.0,49.8,61.2,84.0,55.8,61.6,67.4,73.2,-14.4,-63.2,-127.6,-207.6,-61.2,678.92,1039.68,1039.68,1039.68,324.02,324.02
2026-01-05,-36.8,-20.0,-21.6,-6.4,24.0,-23.0,-18.4,-13.8,-9.2,-11.3,2.4,18.7,37.6,-70.0,680.13,1054.49,1054.49,1054.49,421.57,421.57
2026-01-06,0.8,-20.0,2.8,4.8,8.8,-124.6,-166.4,-208.2,-250.0,-118.3,-155.2,-190.7,-224.8,-64.8,642.53,1024.31,1024.31,1024.31,319.78,319.78
2026-01-07,-74.4,-22.4,-87.4,-100.4,-126.4,-34.2,-20.8,-7.4,6.0,104.4,225.6,377.6,560.4,225.6,791.39,1117.44,1117.44,1117.44,564.47,564.47
2026-01-08,57.2,-4.8,50.4,43.6,30.0,33.2,25.2,17.2,9.2,109.7,161.2,229.7,315.2,-70.0,745.4,1109.17,1109.17,1109.17,523.36,523.36
2026-01-09,19.6,-14.8,35.4,51.2,82.8,22.0,22.8,23.6,24.4,56.2,83.6,118.6,161.2,34.8,727.9,1059.95,1059.95,1059.95,471.48,471.48
2026-01-10,76.0,14.0,106.2,136.4,196.8,67.0,64.0,61.0,58.0,81.4,89.6,101.0,115.6,8.4,716.52,1051.14,1051.14,1051.14,431.57,431.57
2026-01-11,-36.8,-20.0,-53.6,-70.4,-104.0,-23.0,-18.4,-13.8,-9.2,-53.6,-72.8,-98.8,-131.6,14.4,592.0,1036.24,1036.24,1036.24,411.57,411.57
2026-01-12,38.4,6.4,54.2,70.0,101.6,55.8,61.6,67.4,73.2,-14.4,-63.2,-127.6,-207.6,-43.6,632.0,1102.75,1102.75,1102.75,371.67,371.67
2026-01-13,-36.8,-11.2,-49.2,-61.6,-86.4,61.6,94.4,127.2,160.0,56.2,84.8,112.2,138.4,24.8,726.6,1058.97,1058.97,1058.97,462.68,462.68
2026-01-14,-74.4,-11.2,-82.4,-90.4,-106.4,-118.8,-133.6,-148.4,-163.2,-132.3,-157.6,-185.9,-217.2,-61.2,642.53,1056.88,1056.88,1056.88,345.13,345.13
2026-01-15,-18.0,6.4,-16.6,-15.2,-12.4,-17.4,-17.2,-17.0,-16.8,-5.7,3.6,15.5,30.0,-43.6,650.8,1070.8,1070.8,1070.8,446.92,446.92
2026-01-16,-149.6,-20.0,-195.2,-240.8,-332.0,-169.4,-176.0,-182.6,-189.2,-247.7,-315.2,-400.1,-502.4,-49.6,575.6,1039.41,1039.41,1039.41,243.34,243.34
2026-01-17,-93.2,-20.0,-101.8,-110.4,-127.6,-96.2,-97.2,-98.2,-99.2,-129.5,-156.4,-190.7,-232.4,-18.0,573.2,1045.22,1045.22,1045.22,345.13,345.13
2026-01-18,-55.6,-11.2,-68.0,-80.4,-105.2,-113.2,-132.4,-151.6,-170.8,-84.4,-81.2,-71.6,-55.6,-43.2,632.0,1072.64,1072.64,1072.64,411.57,411.57
2026-01-19,38.4,-2.4,40.4,42.4,46.4,112.2,136.8,161.4,186.0,44.7,16.8,-26.1,-84.0,-52.4,707.8,1065.5,1065.5,1065.5,373.93,373.93
2026-01-20,0.8,-12.4,-11.0,-22.8,-46.4,-96.4,-128.8,-161.2,-193.6,17.0,72.8,153.8,260.0,-5.2,726.6,1063.45,1063.45,1063.45,488.02,488.02
2026-01-21,-18.0,5.2,-30.4,-42.8,-67.6,-102.0,-130.0,-158.0,-186.0,-73.2,-78.8,-78.0,-70.8,4.8,632.0,995.9,995.9,995.9,402.77,402.77
2026-01-22,-74.4,-20.0,-82.4,-90.4,-106.4,-62.4,-58.4,-54.4,-50.4,-30.9,-2.4,33.1,75.6,-46.0,707.8,1062.41,1062.41,1062.41,446.92,446.92
2026-01-23,-74.4,5.2,-78.0,-81.6,-88.8,-34.2,-20.8,-7.4,6.0,-22.5,-0.0,25.1,52.8,34.8,709.1,1041.15,1041.15,1041.15,452.68,452.68
2026-01-24,10.8,-6.0,26.6,42.4,74.0,69.6,89.2,108.8,128.4,64.2,79.6,93.8,106.8,-19.6,717.8,1063.12,1063.12,1063.12,440.37,440.37
2026-01-25,19.6,-2.4,39.8,60.0,100.4,-34.4,-52.4,-70.4,-88.4,-87.5,-146.8,-217.9,-300.8,12.0,642.53,990.58,990.58,990.58,305.22,305.22
2026-01-26,-74.4,-20.0,-78.0,-81.6,-88.8,-34.2,-20.8,-7.4,6.0,-22.5,-0.0,25.1,52.8,-15.6,650.8,1056.71,1056.71,1056.71,421.57,421.57
2026-01-27,19.6,11.6,21.6,23.6,27.6,78.4,98.0,117.6,137.2,73.0,88.4,102.6,115.6,47.2,737.58,1063.63,1063.63,1063.63,488.02,488.02
2026-01-28,-74.4,-20.0,-82.4,-90.4,-106.4,-90.6,-96.0,-101.4,-106.8,-123.9,-155.2,-193.9,-240.0,-70.0,573.2,1111.19,1111.19,1111.19,319.78,319.78
2026-01-29,29.6,-11.2,17.8,6.0,-17.6,-122.2,-172.8,-223.4,-274.0,-115.9,-161.6,-205.9,-248.8,-56.0,564.4,1012.55,1012.55,1012.55,257.58,257.58
2026-01-30,-18.0,4.0,-7.2,3.6,25.2,10.8,20.4,30.0,39.6,87.3,156.4,242.5,345.6,37.6,756.38,1082.43,1082.43,1082.43,529.12,529.12
2026-01-31,-8.0,-20.0,-6.0,-4.0,-0.0,-20.6,-24.8,-29.0,-33.2,-135.8,-229.6,-349.0,-494.0,-62.4,585.6,1051.27,1051.27,1051.27,335.13,335.13
2026-02-01,-28.4,-20.0,-44.0,-59.6,-90.8,34.0,54.8,75.6,96.4,31.3,50.0,68.1,85.6,-70.0,606.0,969.77,969.77,969.77,272.23,272.23
2026-02-02,-33.2,-16.0,-40.6,-48.0,-62.8,-87.2,-105.2,-123.2,-141.2,-98.0,-124.4,-153.2,-184.4,-70.0,539.2,1074.7,1074.7,1074.7,267.58,267.58
2026-02-03,23.2,12.8,39.6,56.0,88.8,127.0,161.6,196.2,230.8,104.5,121.6,133.7,140.8,96.4,719.79,1045.84,1045.84,1045.84,416.23,416.23
2026-02-04,-36.8,-20.0,-35.4,-34.0,-31.2,-107.6,-131.2,-154.8,-178.4,-163.4,-230.4,-309.8,-401.6,-62.4,554.4,1156.89,1156.89,1156.89,278.68,278.68
2026-02-05,-18.0,-21.2,-21.0,-24.0,-30.0,-45.6,-54.8,-64.0,-73.2,-56.4,-74.0,-94.0,-116.4,32.4,680.22,1012.27,1012.27,1012.27,324.02,324.02
2026-02-06,38.4,64.4,36.0,33.6,28.8,27.6,24.0,20.4,16.8,19.5,9.6,-2.1,-15.6,64.8,734.99,1061.04,1061.04,1061.04,461.48,461.48
2026-02-07,94.8,65.6,106.8,118.8,142.8,129.0,140.4,151.8,163.2,188.4,246.0,316.8,400.8,246.0,791.39,1117.44,1117.44,1117.44,564.47,564.47
2026-02-08,4.4,-11.2,-6.8,-18.0,-40.4,-47.8,-65.2,-82.6,-100.0,-36.1,-44.4,-50.1,-53.2,-28.0,598.0,993.75,993.75,993.75,299.88,299.88
2026-02-09,19.6,-12.4,12.2,4.8,-10.0,50.2,60.4,70.6,80.8,22.3,10.8,-6.9,-30.8,-44.8,707.8,1062.41,1062.41,1062.41,421.57,421.57
2026-02-10,19.6,6.4,21.6,23.6,27.6,-62.6,-90.0,-117.4,-144.8,-138.2,-224.4,-327.4,-447.2,-43.6,222.8,216.63,216.63,216.63,335.13,335.13
