trade_num,Flat (No MG),Flat + Skip 2L,MG Next Signal (x1.5),MG Next Signal (x2),MG Next Signal (x3.0),MG1 (x1.5),MG1 (x2),MG1 (x2.5),MG1 (x3.0),MG2 (x1.5),MG2 (x2),MG2 (x2.5),MG2 (x3.0),MG2 + Stop 1L,Masaniello,Masaniello (cap $1000),Masaniello (cap $2000),Masaniello (cap $500),Soros (3-level cap),Soros (Anti-MG)
53,-60.0,15.2,-51.6,-43.2,-26.4,-57.0,-56.0,-55.0,-54.0,-95.7,-124.8,-162.5,-208.8,-280.0,1574.73,2560.43,2560.43,2560.43,672.61,672.61
54,-70.0,5.2,-66.6,-63.2,-56.4,-82.0,-86.0,-90.0,-94.0,-100.9,-119.6,-142.5,-169.6,-271.2,1618.73,2636.9,2636.9,2636.9,689.15,689.15
55,-61.2,14.0,-57.8,-54.4,-47.6,-73.2,-77.2,-81.2,-85.2,-92.1,-110.8,-133.7,-160.8,-262.4,1662.73,2711.9,2711.9,2711.9,720.25,720.25
56,-71.2,22.8,-67.8,-64.4,-57.6,-98.2,-107.2,-116.2,-125.2,-139.6,-180.8,-231.2,-290.8,-254.8,1612.73,2628.57,2628.57,2628.57,710.25,710.25
57,-81.2,31.6,-82.8,-84.4,-87.6,-123.2,-137.2,-151.2,-165.2,-144.8,-175.6,-211.2,-251.6,-246.0,1656.73,2707.14,2707.14,2707.14,719.05,719.05
58,-72.4,40.4,-74.0,-75.6,-78.8,-114.4,-128.4,-142.4,-156.4,-136.0,-166.8,-202.4,-242.8,-238.4,1700.73,2784.06,2784.06,2784.06,735.6,735.6
59,-63.6,30.4,-65.2,-66.8,-70.0,-105.6,-119.6,-133.6,-147.6,-127.2,-158.0,-193.6,-234.0,-233.2,1744.73,2859.06,2859.06,2859.06,766.7,766.7
60,-73.6,39.2,-75.2,-76.8,-80.0,-130.6,-149.6,-168.6,-187.6,-132.4,-152.8,-173.6,-194.8,-303.2,1788.73,2931.79,2931.79,2931.79,775.5,775.5
61,-83.6,29.2,-90.2,-96.8,-110.0,-127.4,-142.0,-156.6,-171.2,-129.2,-145.2,-161.6,-178.4,-298.0,1832.73,3001.79,3001.79,3001.79,792.04,792.04
62,-74.8,19.2,-81.4,-88.0,-101.2,-118.6,-133.2,-147.8,-162.4,-120.4,-136.4,-152.8,-169.6,-289.2,1876.73,3068.45,3068.45,3068.45,823.15,823.15
63,-84.8,9.2,-91.4,-98.0,-111.2,-143.6,-163.2,-182.8,-202.4,-167.9,-206.4,-250.3,-299.6,-280.4,1826.73,2997.43,2997.43,2997.43,813.15,813.15
64,-94.8,18.0,-106.4,-118.0,-141.2,-168.6,-193.2,-217.8,-242.4,-215.4,-276.4,-347.8,-429.6,-271.6,1776.73,2916.26,2916.26,2916.26,803.15,803.15
65,-104.8,26.8,-116.4,-128.0,-151.2,-193.6,-223.2,-252.8,-282.4,-220.6,-271.2,-327.8,-390.4,-264.0,1820.73,2999.6,2999.6,2999.6,811.95,811.95
66,-96.0,35.6,-103.2,-110.4,-124.8,-184.8,-214.4,-244.0,-273.6,-211.8,-262.4,-319.0,-381.6,-258.8,1864.73,3079.6,3079.6,3079.6,828.49,828.49
67,-106.0,25.6,-113.2,-120.4,-134.8,-181.6,-206.8,-232.0,-257.2,-208.6,-254.8,-307.0,-365.2,-251.2,1908.73,3154.6,3154.6,3154.6,859.59,859.59
68,-116.0,15.6,-128.2,-140.4,-164.8,-206.6,-236.8,-267.0,-297.2,-213.8,-249.6,-287.0,-326.0,-321.2,1952.73,3221.26,3221.26,3221.26,868.39,868.39
69,-126.0,5.6,-138.2,-150.4,-174.8,-203.4,-229.2,-255.0,-280.8,-210.6,-242.0,-275.0,-309.6,-316.0,1996.73,3271.26,3271.26,3271.26,884.94,884.94
70,-117.2,-4.4,-125.0,-132.8,-148.4,-194.6,-220.4,-246.2,-272.0,-201.8,-233.2,-266.2,-300.8,-310.8,2005.53,3280.06,3280.06,3280.06,916.04,916.04
71,-108.4,-14.4,-116.2,-124.0,-139.6,-185.8,-211.6,-237.4,-263.2,-193.0,-224.4,-257.4,-292.0,-302.0,2014.33,3288.86,3288.86,3288.86,924.84,924.84
72,-118.4,-5.6,-126.2,-134.0,-149.6,-210.8,-241.6,-272.4,-303.2,-240.5,-294.4,-354.9,-422.0,-294.4,1964.33,3197.95,3197.95,3197.95,906.04,906.04
73,-128.4,-15.6,-141.2,-154.0,-179.6,-235.8,-271.6,-307.4,-343.2,-245.7,-289.2,-334.9,-382.8,-286.8,2008.33,3282.16,3282.16,3282.16,914.84,914.84
74,-138.4,-25.6,-151.2,-164.0,-189.6,-232.6,-264.0,-295.4,-326.8,-242.5,-281.6,-322.9,-366.4,-278.0,2052.33,3365.5,3365.5,3365.5,931.38,931.38
75,-129.6,-16.8,-138.0,-146.4,-163.2,-223.8,-255.2,-286.6,-318.0,-233.7,-272.8,-314.1,-357.6,-348.0,2096.33,3447.85,3447.85,3447.85,962.49,962.49
76,-120.8,-26.8,-129.2,-137.6,-154.4,-215.0,-246.4,-277.8,-309.2,-224.9,-264.0,-305.3,-348.8,-340.4,2140.33,3529.1,3529.1,3529.1,971.29,971.29
77,-112.0,-36.8,-120.4,-128.8,-145.6,-206.2,-237.6,-269.0,-300.4,-216.1,-255.2,-296.5,-340.0,-331.6,2184.33,3609.1,3609.1,3609.1,987.83,987.83
78,-122.0,-46.8,-130.4,-138.8,-155.6,-231.2,-267.6,-304.0,-340.4,-221.3,-250.0,-276.5,-300.8,-324.0,2228.33,3687.67,3687.67,3687.67,1018.93,1018.93
79,-113.2,-56.8,-117.2,-121.2,-129.2,-222.4,-258.8,-295.2,-331.6,-212.5,-241.2,-267.7,-292.0,-316.4,2272.33,3764.6,3764.6,3764.6,1027.73,1027.73
80,-123.2,-48.0,-127.2,-131.2,-139.2,-219.2,-251.2,-283.2,-315.2,-209.3,-233.6,-255.7,-275.6,-307.6,2316.33,3839.6,3839.6,3839.6,1044.28,1044.28
81,-114.4,-58.0,-114.0,-113.6,-112.8,-210.4,-242.4,-274.4,-306.4,-200.5,-224.8,-246.9,-266.8,-302.4,2360.33,3912.32,3912.32,3912.32,1075.38,1075.38
82,-105.6,-49.2,-105.2,-104.8,-104.0,-201.6,-233.6,-265.6,-297.6,-191.7,-216.0,-238.1,-258.0,-293.6,2404.33,3982.32,3982.32,3982.32,1084.18,1084.18
83,-96.8,-40.4,-96.4,-96.0,-95.2,-192.8,-224.8,-256.8,-288.8,-182.9,-207.2,-229.3,-249.2,-286.0,2448.33,4048.99,4048.99,4048.99,1100.73,1100.73
84,-88.0,-50.4,-87.6,-87.2,-86.4,-184.0,-216.0,-248.0,-280.0,-174.1,-198.4,-220.5,-240.4,-277.2,2492.33,4111.49,4111.49,4111.49,1131.83,1131.83
85,-98.0,-60.4,-97.6,-97.2,-96.4,-209.0,-246.0,-283.0,-320.0,-179.3,-193.2,-200.5,-201.2,-268.4,2536.33,4168.63,4168.63,4168.63,1140.63,1140.63
86,-89.2,-51.6,-84.4,-79.6,-70.0,-200.2,-237.2,-274.2,-311.2,-170.5,-184.4,-191.7,-192.4,-259.6,2580.33,4218.63,4218.63,4218.63,1157.17,1157.17
87,-99.2,-42.8,-94.4,-89.6,-80.0,-225.2,-267.2,-309.2,-351.2,-175.7,-179.2,-171.7,-153.2,-254.4,2620.33,4258.63,4258.63,4258.63,1188.27,1188.27
88,-90.4,-34.0,-81.2,-72.0,-53.6,-216.4,-258.4,-300.4,-342.4,-166.9,-170.4,-162.9,-144.4,-245.6,2645.33,4283.63,4283.63,4283.63,1197.07,1197.07
89,-100.4,-44.0,-91.2,-82.0,-63.6,-213.2,-250.8,-288.4,-326.0,-163.7,-162.8,-150.9,-128.0,-238.0,2689.33,4363.63,4363.63,4363.63,1213.62,1213.62
90,-110.4,-54.0,-106.2,-102.0,-93.6,-238.2,-280.8,-323.4,-366.0,-168.9,-157.6,-130.9,-88.8,-229.2,2733.33,4442.58,4442.58,4442.58,1244.72,1244.72
91,-101.6,-45.2,-97.4,-93.2,-84.8,-229.4,-272.0,-314.6,-357.2,-160.1,-148.8,-122.1,-80.0,-220.4,2777.33,4520.36,4520.36,4520.36,1253.52,1253.52
92,-111.6,-36.4,-107.4,-103.2,-94.8,-226.2,-264.4,-302.6,-340.8,-156.9,-141.2,-110.1,-63.6,-212.8,2821.33,4596.83,4596.83,4596.83,1270.07,1270.07
93,-121.6,-46.4,-122.4,-123.2,-124.8,-223.0,-256.8,-290.6,-324.4,-153.7,-133.6,-98.1,-47.2,-204.0,2865.33,4671.83,4671.83,4671.83,1301.17,1301.17
94,-131.6,-56.4,-132.4,-133.2,-134.8,-219.8,-249.2,-278.6,-308.0,-150.5,-126.0,-86.1,-30.8,-195.2,2909.33,4745.16,4745.16,4745.16,1309.97,1309.97
95,-141.6,-47.6,-147.4,-153.2,-164.8,-216.6,-241.6,-266.6,-291.6,-147.3,-118.4,-74.1,-14.4,-265.2,2953.33,4816.59,4816.59,4816.59,1326.51,1326.51
96,-132.8,-57.6,-138.6,-144.4,-156.0,-207.8,-232.8,-257.8,-282.8,-138.5,-109.6,-65.3,-5.6,-256.4,2997.33,4885.82,4885.82,4885.82,1357.61,1357.61
97,-124.0,-67.6,-129.8,-135.6,-147.2,-199.0,-224.0,-249.0,-274.0,-129.7,-100.8,-56.5,3.2,-248.8,3041.33,4952.49,4952.49,4952.49,1366.41,1366.41
98,-115.2,-58.8,-121.0,-126.8,-138.4,-190.2,-215.2,-240.2,-265.2,-120.9,-92.0,-47.7,12.0,-243.6,3085.33,5016.12,5016.12,5016.12,1382.96,1382.96
99,-106.4,-50.0,-112.2,-118.0,-129.6,-181.4,-206.4,-231.4,-256.4,-112.1,-83.2,-38.9,20.8,-234.8,3129.33,5076.12,5076.12,5076.12,1414.06,1414.06
100,-116.4,-41.2,-122.2,-128.0,-139.6,-206.4,-236.4,-266.4,-296.4,-159.6,-153.2,-136.4,-109.2,-227.2,3079.33,5012.99,5012.99,5012.99,1404.06,1404.06
101,-107.6,-51.2,-109.0,-110.4,-113.2,-197.6,-227.6,-257.6,-287.6,-150.8,-144.4,-127.6,-100.4,-218.4,3123.33,5075.49,5075.49,5075.49,1412.86,1412.86
102,-98.8,-61.2,-100.2,-101.6,-104.4,-188.8,-218.8,-248.8,-278.8,-142.0,-135.6,-118.8,-91.6,-213.2,3167.33,5132.63,5132.63,5132.63,1429.41,1429.41
103,-108.8,-71.2,-110.2,-111.6,-114.4,-213.8,-248.8,-283.8,-318.8,-147.2,-130.4,-98.8,-52.4,-204.4,3211.33,5182.63,5182.63,5182.63,1460.51,1460.51
104,-100.0,-81.2,-97.0,-94.0,-88.0,-205.0,-240.0,-275.0,-310.0,-138.4,-121.6,-90.0,-43.6,-195.6,3255.33,5262.63,5262.63,5262.63,1469.31,1469.31
105,-110.0,-72.4,-107.0,-104.0,-98.0,-201.8,-232.4,-263.0,-293.6,-135.2,-114.0,-78.0,-27.2,-188.0,3299.33,5341.58,5341.58,5341.58,1485.85,1485.85
106,-101.2,-82.4,-93.8,-86.4,-71.6,-193.0,-223.6,-254.2,-284.8,-126.4,-105.2,-69.2,-18.4,-179.2,3343.33,5419.36,5419.36,5419.36,1516.95,1516.95
107,-111.2,-73.6,-103.8,-96.4,-81.6,-189.8,-216.0,-242.2,-268.4,-123.2,-97.6,-57.2,-2.0,-170.4,3387.33,5495.83,5495.83,5495.83,1525.75,1525.75
108,-121.2,-83.6,-118.8,-116.4,-111.6,-186.6,-208.4,-230.2,-252.0,-120.0,-90.0,-45.2,14.4,-240.4,3431.33,5570.83,5570.83,5570.83,1542.3,1542.3
